Date,AwayTeam+ID,AwayTeamScore,Assists,Blocked Shots,Defensive Rebounds,DoubleDoubles,Effective Field Goals Percentage,Field Goals Attempted,Field Goals Percentage,Free Throws Percentage,Offensive Rebounds,Personal Fouls,Plus Minus,Points,Possessions,Rebounds,Steals,Three Pointers Percentage,Triple Doubles,True Shooting Percentage,Turnovers,Two Pointers Perctenage,HomeTeam+ID,HomeTeamScore,Assists,Blocked Shots,Defensive Rebounds,Double Doubles,Effective Field Goals Percentage,Field Goals Attempted,Field Goals Percentage,Free Throws Percentage,Offensive Rebounds,Personal Fouls,Plus Minus,Points,Possessions,Rebounds,Steals,Three Pointers Percentage,TripleDoubles,True Shooting Percentage,Turnovers,Two Pointers Perctenage
10/22/2019,LAL27,138,27,12.8,43.2,1.8,70,114.8,58.8,96.5,12.2,32.4,-67.6,137.8,128.7,55.4,7.3,53.2,0,73.4,18.9,62.4,LAC28,152,32.4,9.1,45.9,0,80.1,109.4,70.1,95.7,14.9,33.8,67.6,151.3,128.7,60.8,10.8,48,0,82.7,18.9,83.8
10/22/2019,NO23,165,40.5,12.2,50,1.8,68.9,137.8,57,114.8,21.6,45.9,-54,164.8,152.5,71.6,7.3,57,0,74.3,25.7,56.9,TOR10,176,31.1,5.5,55.4,1.8,64.3,139.2,55.1,113.8,21.6,32.4,54,175.6,152.5,77,12.8,47.3,0,73.5,21.6,60
10/23/2019,BOS9,126,10.4,0.7,18,0.3,23.2,52.2,21.3,34.1,3.4,16.8,-40.6,53.9,59,23.8,1.3,15.6,0,25.7,3.4,23.5,PHI7,145,13.9,2.4,29,0.7,27.3,49.3,25.2,41.9,4,19.7,40.6,62.1,59,36,2,14,0,30.7,5,31.1
10/23/2019,CHI11,169,14.5,1.3,16.8,0.3,29.8,60.9,27.1,47.4,11.6,11.6,-2.9,72.5,58.9,28.4,3.7,17.4,0,31.7,3.4,30.9,CHA2,171,16.2,1.3,18.6,0.3,36.9,51,29.6,47.1,3,10.4,1.7,73.1,58.9,23.8,1,30.3,0,38.5,11,29
10/23/2019,CLE12,115,11.6,0.7,25.5,0.7,25.1,51,21.8,38.7,3.4,5,-26.1,49.3,57.5,31.3,2.7,15.4,0,26.1,5.4,25.8,ORL5,127,13.9,1.3,22.6,0.3,28.3,49.9,24.9,33.6,2.4,10.4,26.1,54.5,57.5,26.7,4,17.4,0,28.8,4.4,29
10/23/2019,DEN20,146,13.9,1.3,19.7,0.3,30.8,47,24.4,47.3,3.7,13.3,23.2,62.6,58,26.1,3.7,32.6,0,33.7,11,19,POR19,135,4.4,1.3,20.3,0.3,26.7,50.5,24,53,4.4,14.5,-23.2,58,58,27.8,3,14.5,0,29.9,11.6,28.5
10/23/2019,DET14,161,15.1,2,20.3,0.3,34.2,45.2,30.5,45.7,3.4,12.2,26.1,69,58.1,26.1,1.7,26.6,0,37.3,10.4,32.2,IND13,149,15.1,2,15.1,0.7,29.3,51.6,26.7,48.3,3.4,16.2,-26.1,63.8,58.1,20.9,2.7,22.1,0,32.1,5,28.1
10/23/2019,MEM21,137,12.8,2.4,18,0,26,51.6,24.8,38.7,3,18,-55.1,58.6,64.9,23.2,3,5.2,0,28.7,13.9,33.6,MIA4,162,10.4,2.7,23.2,0.3,30,49.3,27.3,49.1,3.7,19.1,55.1,69.6,64.9,29.6,3,22.6,0,34.1,12.2,28.6
10/23/2019,MIN16,172,13.3,1.3,23.2,0.3,27.9,62.6,24.7,45.6,4,12.8,1.7,73.7,67.4,30.2,3,17.5,0,30.6,4.4,29.5,BKN8,171,11,3,22,0.3,32.1,58.6,27.6,33.5,3.4,17.4,-2.9,73.1,67.4,27.8,2.7,25.6,0,32.5,5.4,28.6
10/23/2019,NY6,150,13.9,0.3,19.7,0.3,30.2,54.5,27.1,41.9,1.7,18.6,-26.1,64.4,63.2,22.6,5.4,19.3,0,31.6,4.7,30.8,SA24,162,12.8,1.7,23.8,0,32.1,48.1,29.3,46.7,3.4,10.4,26.1,69.6,63.2,29.6,2,19.3,0,35.1,12.2,32.8
