Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.
"Fri, Feb 1, 2019",Memphis Grizzlies,92,Charlotte Hornets,100,"15,387"
"Fri, Feb 1, 2019",Boston Celtics,113,New York Knicks,99,"18,343"
"Fri, Feb 1, 2019",Oklahoma City Thunder,118,Miami Heat,102,"19,600"
"Fri, Feb 1, 2019",Atlanta Hawks,112,Utah Jazz,128,"18,306"
"Fri, Feb 1, 2019",Houston Rockets,122,Denver Nuggets,136,"20,106"
"Sat, Feb 2, 2019",Los Angeles Clippers,111,Detroit Pistons,101,"17,862"
"Sat, Feb 2, 2019",Chicago Bulls,118,Charlotte Hornets,125,"19,114"
"Sat, Feb 2, 2019",Brooklyn Nets,89,Orlando Magic,102,"17,385"
"Sat, Feb 2, 2019",Milwaukee Bucks,131,Washington Wizards,115,"20,409"
"Sat, Feb 2, 2019",Dallas Mavericks,111,Cleveland Cavaliers,98,"19,432"
"Sat, Feb 2, 2019",Indiana Pacers,95,Miami Heat,88,"19,600"
"Sat, Feb 2, 2019",Los Angeles Lakers,101,Golden State Warriors,115,"19,596"
"Sat, Feb 2, 2019",New Orleans Pelicans,108,San Antonio Spurs,113,"18,354"
"Sat, Feb 2, 2019",Denver Nuggets,107,Minnesota Timberwolves,106,"17,208"
"Sat, Feb 2, 2019",Atlanta Hawks,118,Phoenix Suns,112,"15,534"
"Sat, Feb 2, 2019",Houston Rockets,125,Utah Jazz,98,"18,306"
"Sat, Feb 2, 2019",Philadelphia 76ers,108,Sacramento Kings,115,"17,583"
"Sun, Feb 3, 2019",Memphis Grizzlies,96,New York Knicks,84,"17,025"
"Sun, Feb 3, 2019",Oklahoma City Thunder,129,Boston Celtics,134,"18,624"
"Sun, Feb 3, 2019",Los Angeles Clippers,103,Toronto Raptors,121,"19,800"
"Mon, Feb 4, 2019",Denver Nuggets,103,Detroit Pistons,129,"12,589"
"Mon, Feb 4, 2019",Atlanta Hawks,137,Washington Wizards,129,"15,025"
"Mon, Feb 4, 2019",Milwaukee Bucks,113,Brooklyn Nets,94,"16,209"
"Mon, Feb 4, 2019",Indiana Pacers,109,New Orleans Pelicans,107,"15,780"
"Mon, Feb 4, 2019",Houston Rockets,118,Phoenix Suns,110,"15,740"
"Mon, Feb 4, 2019",San Antonio Spurs,112,Sacramento Kings,127,"16,245"
"Tue, Feb 5, 2019",Los Angeles Clippers,117,Charlotte Hornets,115,"14,300"
"Tue, Feb 5, 2019",Boston Celtics,103,Cleveland Cavaliers,96,"19,432"
"Tue, Feb 5, 2019",Los Angeles Lakers,94,Indiana Pacers,136,"17,265"
"Tue, Feb 5, 2019",Detroit Pistons,105,New York Knicks,92,"17,853"
"Tue, Feb 5, 2019",Minnesota Timberwolves,106,Memphis Grizzlies,108,"13,454"
"Tue, Feb 5, 2019",Orlando Magic,122,Oklahoma City Thunder,132,"18,203"
"Tue, Feb 5, 2019",Toronto Raptors,119,Philadelphia 76ers,107,"20,472"
"Tue, Feb 5, 2019",Miami Heat,118,Portland Trail Blazers,108,"19,468"
"Wed, Feb 6, 2019",Denver Nuggets,130,Brooklyn Nets,135,"14,516"
"Wed, Feb 6, 2019",New Orleans Pelicans,125,Chicago Bulls,120,"18,116"
"Wed, Feb 6, 2019",Washington Wizards,129,Milwaukee Bucks,148,"17,360"
