Date,AwayTeam,AwayTeamID,AwayTeamScore,HomeTeam,HomeTeamID,HomeTeamScore,AwayTeam+ID,HomeTeam+ID
10-22-2019,NO,23,165,TOR,10,176,NO23,TOR10
10-22-2019,LAL,27,138,LAC,28,152,LAL27,LAC28
10-23-2019,CHI,11,169,CHA,2,171,CHI11,CHA2
10-23-2019,DET,14,161,IND,13,149,DET14,IND13
10-23-2019,CLE,12,115,ORL,5,127,CLE12,ORL5
10-23-2019,MIN,16,172,BKN,8,171,MIN16,BKN8
10-23-2019,MEM,21,137,MIA,4,162,MEM21,MIA4
10-23-2019,BOS,9,126,PHI,7,145,BOS9,PHI7
10-23-2019,WAS,1,135,DAL,25,146,WAS1,DAL25
10-23-2019,NY,6,150,SA,24,162,NY6,SA24
10-23-2019,OKC,18,129,UTA,17,135,OKC18,UTA17
10-23-2019,SAC,30,129,PHO,29,168,SAC30,PHO29
10-23-2019,DEN,20,146,POR,19,135,DEN20,POR19
10-24-2019,ATL,3,158,DET,14,135,ATL3,DET14
10-24-2019,MIL,15,158,HOU,22,150,MIL15,HOU22
10-24-2019,LAC,28,191,GS,26,165,LAC28,GS26
10-25-2019,TOR,10,144,BOS,9,152,TOR10,BOS9
10-25-2019,MIN,16,164,CHA,2,134,MIN16,CHA2
10-25-2019,NY,6,148,BKN,8,153,NY6,BKN8
10-25-2019,CHI,11,149,MEM,21,138,CHI11,MEM21
10-25-2019,DAL,25,167,NO,23,157,DAL25,NO23
10-25-2019,WAS,1,131,OKC,18,115,WAS1,OKC18
10-25-2019,PHO,29,145,DEN,20,146,PHO29,DEN20
10-25-2019,POR,19,165,SAC,30,152,POR19,SAC30
10-25-2019,UTA,17,116,LAL,27,129,UTA17,LAL27
10-26-2019,MIA,4,177,MIL,15,171,MIA4,MIL15
10-26-2019,PHI,7,158,DET,14,150,PHI7,DET14
10-26-2019,ORL,5,134,ATL,3,139,ORL5,ATL3
10-26-2019,BOS,9,160,NY,6,129,BOS9,NY6
10-26-2019,TOR,10,146,CHI,11,114,TOR10,CHI11
10-26-2019,IND,13,134,CLE,12,149,IND13,CLE12
10-26-2019,NO,23,167,HOU,22,171,NO23,HOU22
10-26-2019,WAS,1,165,SA,24,168,WAS1,SA24
10-26-2019,SAC,30,110,UTA,17,153,SAC30,UTA17
10-26-2019,LAC,28,165,PHO,29,176,LAC28,PHO29
10-27-2019,GS,26,125,OKC,18,162,GS26,OKC18
10-27-2019,BKN,8,180,MEM,21,181,BKN8,MEM21
10-27-2019,POR,19,164,DAL,25,161,POR19,DAL25
10-27-2019,MIA,4,148,MIN,16,157,MIA4,MIN16
10-27-2019,CHA,2,137,LAL,27,162,CHA2,LAL27
10-28-2019,IND,13,127,DET,14,130,IND13,DET14
10-28-2019,CHI,11,133,NY,6,142,CHI11,NY6
10-28-2019,PHI,7,142,ATL,3,139,PHI7,ATL3
10-28-2019,ORL,5,129,TOR,10,141,ORL5,TOR10
10-28-2019,OKC,18,152,HOU,22,157,OKC18,HOU22
10-28-2019,CLE,12,152,MIL,15,175,CLE12,MIL15
10-28-2019,GS,26,181,NO,23,167,GS26,NO23
10-28-2019,POR,19,149,SA,24,153,POR19,SA24
10-28-2019,UTA,17,130,PHO,29,129,UTA17,PHO29
10-28-2019,DEN,20,137,SAC,30,127,DEN20,SAC30
10-28-2019,CHA,2,130,LAC,28,150,CHA2,LAC28
